,name,link,mark,episode or len,type,genre,comments,year
407,Невероятное приключение ДжоДжо: Рыцари звёздной пыли,https://shikimori.one/animes/20899-jojo-no-kimyou-na-bouken-part-3-stardust-crusaders,8.11,24,TV Сериал,Экшен,726 комментариев,С 5 апреля 2014 г. по 13 сентября 2014 г.
408,Тёмный дворецкий: Глава об убийстве,https://shikimori.one/animes/z23317-kuroshitsuji-book-of-murder,8.11,2,OVA,Экшен,308 комментариев,
409,Мобильный воин Гандам 00 2,https://shikimori.one/animes/3927-mobile-suit-gundam-00-second-season,8.11,25,TV Сериал,Экшен,131 комментарий,С 5 октября 2008 г. по 29 марта 2009 г.
410,Волейбол!! Битва концепций,https://shikimori.one/animes/35111-haikyuu-movie-4-concept-no-tatakai,8.11,1 час 28 мин.,Фильм,Комедия,33 комментария,
411,Детектив Конан: Волшебник серебряного неба,https://shikimori.one/animes/1367-detective-conan-movie-08-magician-of-the-silver-sky,8.1,1 час 48 мин.,Фильм,Приключения,10 комментариев,
412,Приоритет чудо-яйца,https://shikimori.one/animes/43299-wonder-egg-priority,8.11,12,TV Сериал,Драма,2482 комментария,
413,Евангелион: 3.0+1.0,https://shikimori.one/animes/3786-evangelion-3-0-1-0-thrice-upon-a-time,8.1,2 часа 35 мин.,Фильм,Экшен,2020 комментариев,
414,Дюрарара!! 2: Финал,https://shikimori.one/animes/z27833-durarara-x2-ketsu,8.1,12,TV Сериал,Экшен,358 комментариев,С 9 января 2016 г. по 26 марта 2016 г.
415,Судьба/Ночь схватки: Бесконечный мир клинков — Пролог,https://shikimori.one/animes/z27821-fate-stay-night-unlimited-blade-works-prologue,8.1,51 мин.,Спешл,Экшен,216 комментариев,
416,Гинтама: Джамп Феста 2014,https://shikimori.one/animes/25313-gintama-futon-ni-haitte-kara-buki-nokoshi-ni-kizuite-neru-ni-nerenai-toki-mo-aru,8.1,24 мин.,Спешл,Экшен,28 комментариев,
417,Импульс мира 2,https://shikimori.one/animes/40907-world-trigger-2nd-season,8.1,12,TV Сериал,Экшен,207 комментариев,
418,Готика,https://shikimori.one/animes/8425-gosick,8.1,24,TV Сериал,Детектив,717 комментариев,С 8 января 2011 г. по 2 июля 2011 г.
419,Первый шаг: Специальный эпизод,https://shikimori.one/animes/12069-hajime-no-ippo-boxer-no-kobushi,8.1,23 мин.,Спешл,Комедия,2 комментария,
420,Хикару и Го,https://shikimori.one/animes/135-hikaru-no-go,8.1,75,TV Сериал,Комедия,189 комментариев,С 10 октября 2001 г. по 26 марта 2003 г.
421,Убей или умри,https://shikimori.one/animes/z18679-kill-la-kill,8.1,24,TV Сериал,Экшен,3099 комментариев,С 4 октября 2013 г. по 28 марта 2014 г.
422,Призрак в доспехах: Синдром одиночки — Смеющийся человек,https://shikimori.one/animes/2449-koukaku-kidoutai-stand-alone-complex-the-laughing-man,8.1,2 часа 40 мин.,Спешл,Экшен,11 комментариев,
423,Баскетбол Куроко: Это лучший подарок!,https://shikimori.one/animes/31051-kuroko-no-basket-saikou-no-present-desu,8.1,23 мин.,Спешл,Экшен,59 комментариев,
424,Воспоминания о Марни,https://shikimori.one/animes/21557-omoide-no-marnie,8.1,1 час 43 мин.,Фильм,Детектив,218 комментариев,
